INFO logger 2024-02-01 10:41:00,665 | data_utils.py:383 | Observations info in ElBorn
INFO logger 2024-02-01 10:41:00,666 | data_utils.py:384 | 	Total number of samples:  4192
INFO logger 2024-02-01 10:41:00,666 | data_utils.py:385 | 	Number of samples for training: 3354
INFO logger 2024-02-01 10:41:00,666 | data_utils.py:386 | 	Number of samples for validation:  838
INFO logger 2024-02-01 10:41:00,669 | data_utils.py:383 | Observations info in LesCorts
INFO logger 2024-02-01 10:41:00,669 | data_utils.py:384 | 	Total number of samples:  6892
INFO logger 2024-02-01 10:41:00,669 | data_utils.py:385 | 	Number of samples for training: 5514
INFO logger 2024-02-01 10:41:00,670 | data_utils.py:386 | 	Number of samples for validation:  1378
INFO logger 2024-02-01 10:41:00,673 | data_utils.py:383 | Observations info in PobleSec
INFO logger 2024-02-01 10:41:00,673 | data_utils.py:384 | 	Total number of samples:  15927
INFO logger 2024-02-01 10:41:00,673 | data_utils.py:385 | 	Number of samples for training: 12742
INFO logger 2024-02-01 10:41:00,674 | data_utils.py:386 | 	Number of samples for validation:  3185
INFO logger 2024-02-01 10:41:00,675 | data_utils.py:389 | Observations info using all data
INFO logger 2024-02-01 10:41:00,675 | data_utils.py:390 | 	Total number of samples:  27011
INFO logger 2024-02-01 10:41:00,676 | data_utils.py:391 | 	Number of samples for training: 21610
INFO logger 2024-02-01 10:41:00,676 | data_utils.py:392 | 	Number of samples for validation:  5401
INFO logger 2024-02-01 10:41:00,676 | data_utils.py:118 | Using Flooring and Capping and with params: {'ElBorn': (10, 90), 'LesCorts': (10, 90), 'PobleSec': (5, 95)}
INFO logger 2024-02-01 10:41:01,699 | server.py:62 | Initializing client manager...
INFO logger 2024-02-01 10:41:01,713 | server.py:69 | Registering clients...
INFO logger 2024-02-01 10:41:01,714 | client_manager.py:66 | Registered client with id: ElBorn
INFO logger 2024-02-01 10:41:01,714 | client_manager.py:66 | Registered client with id: LesCorts
INFO logger 2024-02-01 10:41:01,714 | client_manager.py:66 | Registered client with id: PobleSec
INFO logger 2024-02-01 10:41:01,714 | server.py:73 | Client manager initialized!
INFO logger 2024-02-01 10:41:01,714 | server.py:55 | Aggregation algorithm: FedAvg()
INFO logger 2024-02-01 10:41:01,714 | client_manager.py:88 | Parameter c=0.0. Sampled 1 client(s): ['LesCorts']
Clients participating training are: dict_keys(['ElBorn', 'LesCorts', 'PobleSec'])
INFO logger 2024-02-01 10:41:02,760 | server.py:87 | Starting FL rounds
INFO logger 2024-02-01 10:41:02,761 | client_manager.py:88 | Parameter c=1.0. Sampled 3 client(s): ['LesCorts', 'ElBorn', 'PobleSec']
INFO logger 2024-02-01 10:41:04,588 | train_utils.py:153 | Best Loss: 9.611116624192188e-05
INFO logger 2024-02-01 10:41:05,413 | train_utils.py:153 | Best Loss: 1.827523342596934e-05
INFO logger 2024-02-01 10:41:07,879 | train_utils.py:153 | Best Loss: 0.00035936859661830575
INFO logger 2024-02-01 10:41:08,505 | server.py:201 | [Global round 1] Aggregating local models...
INFO logger 2024-02-01 10:41:09,714 | client_manager.py:88 | Parameter c=1.0. Sampled 3 client(s): ['PobleSec', 'LesCorts', 'ElBorn']
INFO logger 2024-02-01 10:41:12,587 | train_utils.py:153 | Best Loss: 0.00034176042789270676
INFO logger 2024-02-01 10:41:14,026 | train_utils.py:153 | Best Loss: 0.0001017630603355056
INFO logger 2024-02-01 10:41:14,789 | train_utils.py:153 | Best Loss: 1.0444965698038664e-05
INFO logger 2024-02-01 10:41:14,889 | server.py:201 | [Global round 2] Aggregating local models...
INFO logger 2024-02-01 10:41:15,610 | client_manager.py:88 | Parameter c=1.0. Sampled 3 client(s): ['LesCorts', 'PobleSec', 'ElBorn']
INFO logger 2024-02-01 10:41:16,532 | train_utils.py:153 | Best Loss: 0.00010052675276460964
INFO logger 2024-02-01 10:41:19,090 | train_utils.py:153 | Best Loss: 0.0003410475158616607
INFO logger 2024-02-01 10:41:20,797 | train_utils.py:153 | Best Loss: 8.229621737219106e-06
INFO logger 2024-02-01 10:41:20,913 | server.py:201 | [Global round 3] Aggregating local models...
INFO logger 2024-02-01 10:41:21,631 | client_manager.py:88 | Parameter c=1.0. Sampled 3 client(s): ['PobleSec', 'ElBorn', 'LesCorts']
INFO logger 2024-02-01 10:41:24,266 | train_utils.py:153 | Best Loss: 0.00034092506421289927
