INFO logger 2024-02-01 14:44:58,227 | data_utils.py:383 | Observations info in ElBorn
INFO logger 2024-02-01 14:44:58,227 | data_utils.py:384 | 	Total number of samples:  4192
INFO logger 2024-02-01 14:44:58,228 | data_utils.py:385 | 	Number of samples for training: 3354
INFO logger 2024-02-01 14:44:58,228 | data_utils.py:386 | 	Number of samples for validation:  838
INFO logger 2024-02-01 14:44:58,231 | data_utils.py:383 | Observations info in LesCorts
INFO logger 2024-02-01 14:44:58,231 | data_utils.py:384 | 	Total number of samples:  6892
INFO logger 2024-02-01 14:44:58,232 | data_utils.py:385 | 	Number of samples for training: 5514
INFO logger 2024-02-01 14:44:58,232 | data_utils.py:386 | 	Number of samples for validation:  1378
INFO logger 2024-02-01 14:44:58,236 | data_utils.py:383 | Observations info in PobleSec
INFO logger 2024-02-01 14:44:58,237 | data_utils.py:384 | 	Total number of samples:  15927
INFO logger 2024-02-01 14:44:58,237 | data_utils.py:385 | 	Number of samples for training: 12742
INFO logger 2024-02-01 14:44:58,238 | data_utils.py:386 | 	Number of samples for validation:  3185
INFO logger 2024-02-01 14:44:58,240 | data_utils.py:389 | Observations info using all data
INFO logger 2024-02-01 14:44:58,240 | data_utils.py:390 | 	Total number of samples:  27011
INFO logger 2024-02-01 14:44:58,240 | data_utils.py:391 | 	Number of samples for training: 21610
INFO logger 2024-02-01 14:44:58,241 | data_utils.py:392 | 	Number of samples for validation:  5401
INFO logger 2024-02-01 14:44:58,241 | data_utils.py:118 | Using Flooring and Capping and with params: {'ElBorn': (10, 90), 'LesCorts': (10, 90), 'PobleSec': (5, 95)}
Clients participating training are: dict_keys(['ElBorn', 'LesCorts', 'PobleSec'])
INFO logger 2024-02-01 14:45:00,396 | server.py:71 | Initializing client manager...
INFO logger 2024-02-01 14:45:00,397 | server.py:78 | Registering clients...
INFO logger 2024-02-01 14:45:00,397 | client_manager.py:66 | Registered client with id: ElBorn_0
INFO logger 2024-02-01 14:45:00,397 | client_manager.py:66 | Registered client with id: ElBorn_1
INFO logger 2024-02-01 14:45:00,397 | client_manager.py:66 | Registered client with id: ElBorn_2
INFO logger 2024-02-01 14:45:00,398 | client_manager.py:66 | Registered client with id: ElBorn_3
INFO logger 2024-02-01 14:45:00,398 | client_manager.py:66 | Registered client with id: ElBorn_4
INFO logger 2024-02-01 14:45:00,398 | client_manager.py:66 | Registered client with id: LesCorts_0
INFO logger 2024-02-01 14:45:00,398 | client_manager.py:66 | Registered client with id: LesCorts_1
INFO logger 2024-02-01 14:45:00,398 | client_manager.py:66 | Registered client with id: LesCorts_2
INFO logger 2024-02-01 14:45:00,399 | client_manager.py:66 | Registered client with id: LesCorts_3
INFO logger 2024-02-01 14:45:00,399 | client_manager.py:66 | Registered client with id: LesCorts_4
INFO logger 2024-02-01 14:45:00,399 | client_manager.py:66 | Registered client with id: PobleSec_0
INFO logger 2024-02-01 14:45:00,400 | client_manager.py:66 | Registered client with id: PobleSec_1
INFO logger 2024-02-01 14:45:00,400 | client_manager.py:66 | Registered client with id: PobleSec_2
INFO logger 2024-02-01 14:45:00,400 | client_manager.py:66 | Registered client with id: PobleSec_3
INFO logger 2024-02-01 14:45:00,400 | client_manager.py:66 | Registered client with id: PobleSec_4
INFO logger 2024-02-01 14:45:00,400 | server.py:82 | Client manager initialized!
INFO logger 2024-02-01 14:45:00,401 | server.py:64 | Aggregation algorithm: FedAvg()
INFO logger 2024-02-01 14:45:00,401 | client_manager.py:88 | Parameter c=0.0. Sampled 1 client(s): ['PobleSec_3']
INFO logger 2024-02-01 14:45:02,098 | server.py:96 | Starting FL rounds
INFO logger 2024-02-01 14:45:02,099 | client_manager.py:88 | Parameter c=1.0. Sampled 15 client(s): ['LesCorts_1', 'PobleSec_2', 'PobleSec_4', 'ElBorn_0', 'ElBorn_4', 'LesCorts_3', 'LesCorts_2', 'PobleSec_3', 'LesCorts_4', 'ElBorn_2', 'ElBorn_3', 'LesCorts_0', 'PobleSec_0', 'PobleSec_1', 'ElBorn_1']
INFO logger 2024-02-01 14:45:03,482 | train_utils.py:153 | Best Loss: 0.0002896100798708915
INFO logger 2024-02-01 14:45:04,257 | train_utils.py:153 | Best Loss: 0.00048219764949827213
INFO logger 2024-02-01 14:45:05,888 | train_utils.py:153 | Best Loss: 0.0004605070486166111
INFO logger 2024-02-01 14:45:06,561 | train_utils.py:153 | Best Loss: 0.00016069088518115633
INFO logger 2024-02-01 14:45:06,931 | train_utils.py:153 | Best Loss: 2.704441241170887e-05
INFO logger 2024-02-01 14:45:07,491 | train_utils.py:153 | Best Loss: 0.0005478842390908136
INFO logger 2024-02-01 14:45:07,877 | train_utils.py:153 | Best Loss: 0.00021486838037769
